"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VDMKIPK8","conferencePaper","2021","Bender, Emily M.; Gebru, Timnit; McMillan-Major, Angelina; Shmitchell, Shmargaret","On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? 🦜","Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency","978-1-4503-8309-7","","10.1145/3442188.3445922","https://dl.acm.org/doi/10.1145/3442188.3445922","The past 3 years of work in NLP have been characterized by the development and deployment of ever larger language models, especially for English. BERT, its variants, GPT-2/3, and others, most recently Switch-C, have pushed the boundaries of the possible both through architectural innovations and through sheer size. Using these pretrained models and the methodology of fine-tuning them for specific tasks, researchers have extended the state of the art on a wide array of tasks as measured by leaderboards on specific benchmarks for English. In this paper, we take a step back and ask: How big is too big? What are the possible risks associated with this technology and what paths are available for mitigating those risks? We provide recommendations including weighing the environmental and financial costs first, investing resources into curating and carefully documenting datasets rather than ingesting everything on the web, carrying out pre-development exercises evaluating how the planned approach fits into research and development goals and supports stakeholder values, and encouraging research directions beyond ever larger language models.","2021-03-01","2023-04-19 05:12:31","2023-04-19 05:12:31","2023-04-18","610–623","","","","","","On the Dangers of Stochastic Parrots","FAccT '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/patrickmineault/Zotero/storage/VEFRN9ZN/Bender et al. - 2021 - On the Dangers of Stochastic Parrots Can Language.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSZ6HHA2","preprint","2021","Miller, John; Taori, Rohan; Raghunathan, Aditi; Sagawa, Shiori; Koh, Pang Wei; Shankar, Vaishaal; Liang, Percy; Carmon, Yair; Schmidt, Ludwig","Accuracy on the Line: On the Strong Correlation Between Out-of-Distribution and In-Distribution Generalization","","","","10.48550/arXiv.2107.04649","http://arxiv.org/abs/2107.04649","For machine learning systems to be reliable, we must understand their performance in unseen, out-of-distribution environments. In this paper, we empirically show that out-of-distribution performance is strongly correlated with in-distribution performance for a wide range of models and distribution shifts. Specifically, we demonstrate strong correlations between in-distribution and out-of-distribution performance on variants of CIFAR-10 & ImageNet, a synthetic pose estimation task derived from YCB objects, satellite imagery classification in FMoW-WILDS, and wildlife classification in iWildCam-WILDS. The strong correlations hold across model architectures, hyperparameters, training set size, and training duration, and are more precise than what is expected from existing domain adaptation theory. To complete the picture, we also investigate cases where the correlation is weaker, for instance some synthetic distribution shifts from CIFAR-10-C and the tissue classification dataset Camelyon17-WILDS. Finally, we provide a candidate theory based on a Gaussian data model that shows how changes in the data covariance arising from distribution shift can affect the observed correlations.","2021-10-07","2023-04-19 05:12:51","2023-04-19 05:12:51","2023-04-19 05:12:51","","","","","","","Accuracy on the Line","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2107.04649 [cs, stat]","","/Users/patrickmineault/Zotero/storage/JKPI99X2/Miller et al. - 2021 - Accuracy on the Line On the Strong Correlation Be.pdf; /Users/patrickmineault/Zotero/storage/PRICILC9/2107.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2107.04649","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3T44X2UZ","preprint","2020","Sun, Yu; Wang, Xiaolong; Liu, Zhuang; Miller, John; Efros, Alexei A.; Hardt, Moritz","Test-Time Training with Self-Supervision for Generalization under Distribution Shifts","","","","10.48550/arXiv.1909.13231","http://arxiv.org/abs/1909.13231","In this paper, we propose Test-Time Training, a general approach for improving the performance of predictive models when training and test data come from different distributions. We turn a single unlabeled test sample into a self-supervised learning problem, on which we update the model parameters before making a prediction. This also extends naturally to data in an online stream. Our simple approach leads to improvements on diverse image classification benchmarks aimed at evaluating robustness to distribution shifts.","2020-07-01","2023-04-19 05:13:12","2023-04-19 05:13:12","2023-04-19 05:13:12","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1909.13231 [cs, stat]","","/Users/patrickmineault/Zotero/storage/H4T2CQM7/Sun et al. - 2020 - Test-Time Training with Self-Supervision for Gener.pdf; /Users/patrickmineault/Zotero/storage/7FZ942H7/1909.html","","","Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1909.13231","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GU34VYB","preprint","2020","Kaplan, Jared; McCandlish, Sam; Henighan, Tom; Brown, Tom B.; Chess, Benjamin; Child, Rewon; Gray, Scott; Radford, Alec; Wu, Jeffrey; Amodei, Dario","Scaling Laws for Neural Language Models","","","","10.48550/arXiv.2001.08361","http://arxiv.org/abs/2001.08361","We study empirical scaling laws for language model performance on the cross-entropy loss. The loss scales as a power-law with model size, dataset size, and the amount of compute used for training, with some trends spanning more than seven orders of magnitude. Other architectural details such as network width or depth have minimal effects within a wide range. Simple equations govern the dependence of overfitting on model/dataset size and the dependence of training speed on model size. These relationships allow us to determine the optimal allocation of a fixed compute budget. Larger models are significantly more sample-efficient, such that optimally compute-efficient training involves training very large models on a relatively modest amount of data and stopping significantly before convergence.","2020-01-22","2023-04-19 05:13:42","2023-04-19 05:13:42","2023-04-19 05:13:42","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2001.08361 [cs, stat]","","/Users/patrickmineault/Zotero/storage/SJ6CTB5T/Kaplan et al. - 2020 - Scaling Laws for Neural Language Models.pdf; /Users/patrickmineault/Zotero/storage/2VYW26J9/2001.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2001.08361","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIQMB67U","preprint","2019","Ilyas, Andrew; Santurkar, Shibani; Tsipras, Dimitris; Engstrom, Logan; Tran, Brandon; Madry, Aleksander","Adversarial Examples Are Not Bugs, They Are Features","","","","10.48550/arXiv.1905.02175","http://arxiv.org/abs/1905.02175","Adversarial examples have attracted significant attention in machine learning, but the reasons for their existence and pervasiveness remain unclear. We demonstrate that adversarial examples can be directly attributed to the presence of non-robust features: features derived from patterns in the data distribution that are highly predictive, yet brittle and incomprehensible to humans. After capturing these features within a theoretical framework, we establish their widespread existence in standard datasets. Finally, we present a simple setting where we can rigorously tie the phenomena we observe in practice to a misalignment between the (human-specified) notion of robustness and the inherent geometry of the data.","2019-08-12","2023-04-19 05:14:02","2023-04-19 05:14:02","2023-04-19 05:14:02","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1905.02175 [cs, stat]","","/Users/patrickmineault/Zotero/storage/MJ8DECHD/Ilyas et al. - 2019 - Adversarial Examples Are Not Bugs, They Are Featur.pdf; /Users/patrickmineault/Zotero/storage/2L8MJJFN/1905.html","","","Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:1905.02175","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GN6BI5S","journalArticle","2020","Bartlett, Peter L.; Long, Philip M.; Lugosi, Gábor; Tsigler, Alexander","Benign Overfitting in Linear Regression","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.1907378117","http://arxiv.org/abs/1906.11300","The phenomenon of benign overfitting is one of the key mysteries uncovered by deep learning methodology: deep neural networks seem to predict well, even with a perfect fit to noisy training data. Motivated by this phenomenon, we consider when a perfect fit to training data in linear regression is compatible with accurate prediction. We give a characterization of linear regression problems for which the minimum norm interpolating prediction rule has near-optimal prediction accuracy. The characterization is in terms of two notions of the effective rank of the data covariance. It shows that overparameterization is essential for benign overfitting in this setting: the number of directions in parameter space that are unimportant for prediction must significantly exceed the sample size. By studying examples of data covariance properties that this characterization shows are required for benign overfitting, we find an important role for finite-dimensional data: the accuracy of the minimum norm interpolating prediction rule approaches the best possible accuracy for a much narrower range of properties of the data distribution when the data lies in an infinite dimensional space versus when the data lies in a finite dimensional space whose dimension grows faster than the sample size.","2020-12","2023-04-19 05:14:23","2023-04-19 05:14:23","2023-04-19 05:14:23","30063-30070","","48","117","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","","","","","","arXiv.org","","arXiv:1906.11300 [cs, math, stat]","","/Users/patrickmineault/Zotero/storage/JX6H3HEP/Bartlett et al. - 2020 - Benign Overfitting in Linear Regression.pdf; /Users/patrickmineault/Zotero/storage/QYZ3VBUV/1906.html","","","Computer Science - Machine Learning; Statistics - Machine Learning; Mathematics - Statistics Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GEY573Z","preprint","2019","Oliver, Avital; Odena, Augustus; Raffel, Colin; Cubuk, Ekin D.; Goodfellow, Ian J.","Realistic Evaluation of Deep Semi-Supervised Learning Algorithms","","","","10.48550/arXiv.1804.09170","http://arxiv.org/abs/1804.09170","Semi-supervised learning (SSL) provides a powerful framework for leveraging unlabeled data when labels are limited or expensive to obtain. SSL algorithms based on deep neural networks have recently proven successful on standard benchmark tasks. However, we argue that these benchmarks fail to address many issues that these algorithms would face in real-world applications. After creating a unified reimplementation of various widely-used SSL techniques, we test them in a suite of experiments designed to address these issues. We find that the performance of simple baselines which do not use unlabeled data is often underreported, that SSL methods differ in sensitivity to the amount of labeled and unlabeled data, and that performance can degrade substantially when the unlabeled dataset contains out-of-class examples. To help guide SSL research towards real-world applicability, we make our unified reimplemention and evaluation platform publicly available.","2019-06-17","2023-04-19 05:15:26","2023-04-19 05:15:26","2023-04-19 05:15:26","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1804.09170 [cs, stat]","","/Users/patrickmineault/Zotero/storage/GN4JEBYC/Oliver et al. - 2019 - Realistic Evaluation of Deep Semi-Supervised Learn.pdf; /Users/patrickmineault/Zotero/storage/BE8B877V/1804.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1804.09170","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BB6STB8D","preprint","2020","Jacot, Arthur; Gabriel, Franck; Hongler, Clément","Neural Tangent Kernel: Convergence and Generalization in Neural Networks","","","","10.48550/arXiv.1806.07572","http://arxiv.org/abs/1806.07572","At initialization, artificial neural networks (ANNs) are equivalent to Gaussian processes in the infinite-width limit, thus connecting them to kernel methods. We prove that the evolution of an ANN during training can also be described by a kernel: during gradient descent on the parameters of an ANN, the network function $f_\theta$ (which maps input vectors to output vectors) follows the kernel gradient of the functional cost (which is convex, in contrast to the parameter cost) w.r.t. a new kernel: the Neural Tangent Kernel (NTK). This kernel is central to describe the generalization features of ANNs. While the NTK is random at initialization and varies during training, in the infinite-width limit it converges to an explicit limiting kernel and it stays constant during training. This makes it possible to study the training of ANNs in function space instead of parameter space. Convergence of the training can then be related to the positive-definiteness of the limiting NTK. We prove the positive-definiteness of the limiting NTK when the data is supported on the sphere and the non-linearity is non-polynomial. We then focus on the setting of least-squares regression and show that in the infinite-width limit, the network function $f_\theta$ follows a linear differential equation during training. The convergence is fastest along the largest kernel principal components of the input data with respect to the NTK, hence suggesting a theoretical motivation for early stopping. Finally we study the NTK numerically, observe its behavior for wide networks, and compare it to the infinite-width limit.","2020-02-10","2023-04-19 05:15:48","2023-04-19 05:15:48","2023-04-19 05:15:48","","","","","","","Neural Tangent Kernel","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1806.07572 [cs, math, stat]","","/Users/patrickmineault/Zotero/storage/FY96IFZ5/Jacot et al. - 2020 - Neural Tangent Kernel Convergence and Generalizat.pdf; /Users/patrickmineault/Zotero/storage/D8KL2D7Q/1806.html","","","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Neural and Evolutionary Computing; Mathematics - Probability","","","","","","","","","","","","","","","","","","","arXiv:1806.07572","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQKC3JPL","preprint","2022","Soudry, Daniel; Hoffer, Elad; Nacson, Mor Shpigel; Gunasekar, Suriya; Srebro, Nathan","The Implicit Bias of Gradient Descent on Separable Data","","","","10.48550/arXiv.1710.10345","http://arxiv.org/abs/1710.10345","We examine gradient descent on unregularized logistic regression problems, with homogeneous linear predictors on linearly separable datasets. We show the predictor converges to the direction of the max-margin (hard margin SVM) solution. The result also generalizes to other monotone decreasing loss functions with an infimum at infinity, to multi-class problems, and to training a weight layer in a deep network in a certain restricted setting. Furthermore, we show this convergence is very slow, and only logarithmic in the convergence of the loss itself. This can help explain the benefit of continuing to optimize the logistic or cross-entropy loss even after the training error is zero and the training loss is extremely small, and, as we show, even if the validation loss increases. Our methodology can also aid in understanding implicit regularization n more complex models and with other optimization methods.","2022-07-19","2023-04-19 05:16:11","2023-04-19 05:16:11","2023-04-19 05:16:11","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1710.10345 [cs, stat]","","/Users/patrickmineault/Zotero/storage/AG9RZPAK/Soudry et al. - 2022 - The Implicit Bias of Gradient Descent on Separable.pdf; /Users/patrickmineault/Zotero/storage/723DKFE7/1710.html","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1710.10345","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7F779J2","preprint","2019","Frankle, Jonathan; Carbin, Michael","The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks","","","","10.48550/arXiv.1803.03635","http://arxiv.org/abs/1803.03635","Neural network pruning techniques can reduce the parameter counts of trained networks by over 90%, decreasing storage requirements and improving computational performance of inference without compromising accuracy. However, contemporary experience is that the sparse architectures produced by pruning are difficult to train from the start, which would similarly improve training performance. We find that a standard pruning technique naturally uncovers subnetworks whose initializations made them capable of training effectively. Based on these results, we articulate the ""lottery ticket hypothesis:"" dense, randomly-initialized, feed-forward networks contain subnetworks (""winning tickets"") that - when trained in isolation - reach test accuracy comparable to the original network in a similar number of iterations. The winning tickets we find have won the initialization lottery: their connections have initial weights that make training particularly effective. We present an algorithm to identify winning tickets and a series of experiments that support the lottery ticket hypothesis and the importance of these fortuitous initializations. We consistently find winning tickets that are less than 10-20% of the size of several fully-connected and convolutional feed-forward architectures for MNIST and CIFAR10. Above this size, the winning tickets that we find learn faster than the original network and reach higher test accuracy.","2019-03-04","2023-04-19 05:17:01","2023-04-19 05:17:01","2023-04-19 05:17:01","","","","","","","The Lottery Ticket Hypothesis","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1803.03635 [cs]","","/Users/patrickmineault/Zotero/storage/6TJ6KYMG/Frankle and Carbin - 2019 - The Lottery Ticket Hypothesis Finding Sparse, Tra.pdf; /Users/patrickmineault/Zotero/storage/QTET8VW5/1803.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","arXiv:1803.03635","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAKELA2H","preprint","2017","Neyshabur, Behnam; Bhojanapalli, Srinadh; McAllester, David; Srebro, Nathan","Exploring Generalization in Deep Learning","","","","10.48550/arXiv.1706.08947","http://arxiv.org/abs/1706.08947","With a goal of understanding what drives generalization in deep networks, we consider several recently suggested explanations, including norm-based control, sharpness and robustness. We study how these measures can ensure generalization, highlighting the importance of scale normalization, and making a connection between sharpness and PAC-Bayes theory. We then investigate how well the measures explain different observed phenomena.","2017-07-06","2023-04-19 05:17:20","2023-04-19 05:17:20","2023-04-19 05:17:20","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1706.08947 [cs]","","/Users/patrickmineault/Zotero/storage/J3EH3A63/Neyshabur et al. - 2017 - Exploring Generalization in Deep Learning.pdf; /Users/patrickmineault/Zotero/storage/RJGX2NCK/1706.html","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1706.08947","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EH3XM6H","preprint","2017","Finn, Chelsea; Abbeel, Pieter; Levine, Sergey","Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks","","","","10.48550/arXiv.1703.03400","http://arxiv.org/abs/1703.03400","We propose an algorithm for meta-learning that is model-agnostic, in the sense that it is compatible with any model trained with gradient descent and applicable to a variety of different learning problems, including classification, regression, and reinforcement learning. The goal of meta-learning is to train a model on a variety of learning tasks, such that it can solve new learning tasks using only a small number of training samples. In our approach, the parameters of the model are explicitly trained such that a small number of gradient steps with a small amount of training data from a new task will produce good generalization performance on that task. In effect, our method trains the model to be easy to fine-tune. We demonstrate that this approach leads to state-of-the-art performance on two few-shot image classification benchmarks, produces good results on few-shot regression, and accelerates fine-tuning for policy gradient reinforcement learning with neural network policies.","2017-07-18","2023-04-19 05:17:45","2023-04-19 05:17:45","2023-04-19 05:17:45","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1703.03400 [cs]","","/Users/patrickmineault/Zotero/storage/4UZEAG3T/Finn et al. - 2017 - Model-Agnostic Meta-Learning for Fast Adaptation o.pdf; /Users/patrickmineault/Zotero/storage/59WSRNHL/1703.html","","","Computer Science - Computer Vision and Pattern Recognition; Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","arXiv:1703.03400","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCQP4E2S","preprint","2012","Schoelkopf, Bernhard; Janzing, Dominik; Peters, Jonas; Sgouritsa, Eleni; Zhang, Kun; Mooij, Joris","On Causal and Anticausal Learning","","","","10.48550/arXiv.1206.6471","http://arxiv.org/abs/1206.6471","We consider the problem of function estimation in the case where an underlying causal model can be inferred. This has implications for popular scenarios such as covariate shift, concept drift, transfer learning and semi-supervised learning. We argue that causal knowledge may facilitate some approaches for a given problem, and rule out others. In particular, we formulate a hypothesis for when semi-supervised learning can help, and corroborate it with empirical results.","2012-06-27","2023-04-19 05:19:20","2023-04-19 05:19:20","2023-04-19 05:19:20","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1206.6471 [cs, stat]","","/Users/patrickmineault/Zotero/storage/TAUY85AC/1206.html; /Users/patrickmineault/Zotero/storage/BLCXFQVW/Schölkopf et al. - 2012 - On causal and anticausal learning.pdf","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1206.6471","","","","","","","","","","","","","","","","","","","","","","","","","","",""
